Block Identifier," Block Name"," Hint?"," Data?"," Description"
0,"null","no","no","decodes as null"
1,"undefined","no","no","decodes as undefined"
2,"uint8","no","yes","decodes as uint8"
3,"uint16","no","yes","decodes as uint16"
4,"uint24","no","yes","decodes as uint24"
5,"uint32","no","yes","decodes as uint32"
6,"uint40","no","yes","decodes as uint40"
7,"uint48","no","yes","decodes as uint48"
8,"uint64","no","yes","decodes as uint64"
9,"uint128","no","yes","decodes as uint128"
10,"uintn","yes; byte count","yes","decodes as uintn; n*8-bit unsigned integer. Hint section defines the value of n."
11,"int8","no","yes","decodes as int8"
12,"int16","no","yes","decodes as int16"
13,"int24","no","yes","decodes as int24"
14,"int32","no","yes","decodes as int32"
15,"int40","no","yes","decodes as int40"
16,"int48","no","yes","decodes as int48"
17,"int64","no","yes","decodes as int64"
18,"int128","no","yes","decodes as int128"
19,"intn","yes; byte count","yes","decodes as intn; n*8-bit signed integer. Hint section defines the value of n."
20,"float8","no","yes","decodes as float8"
21,"float16","no","yes","decodes as float16"
22,"float24","no","yes","decodes as float24"
23,"float32","no","yes","decodes as float32"
24,"float40","no","yes","decodes as float40"
25,"float48","no","yes","decodes as float48"
26,"float64","no","yes","decodes as float64 (double)"
27,"float128","no","yes","decodes as float128"
28,"floatn","yes; byte count","yes","decodes as floatn; n*8-bit float. Hint section defines the value of n."
29,"ref8","no","yes","A reference to a previously decoded block. Data section contains a uint8 (block number)."
30,"ref16","no","yes","A reference to a previously decoded block. Data section contains a uint16 (block number)."
31,"ref24","no","yes","A reference to a previously decoded block. Data section contains a uint24 (block number)."
32,"ref32","no","yes","A reference to a previously decoded block. Data section contains a uint32 (block number)."
33,"ref40","no","yes","A reference to a previously decoded block. Data section contains a uint40 (block number)."
34,"ref48","no","yes","A reference to a previously decoded block. Data section contains a uint48 (block number)."
35,"ref64","no","yes","A reference to a previously decoded block. Data section contains a uint64 (block number)."
36,"ref128","no","yes","A reference to a previously decoded block. Data section contains a uint128 (block number)."
37,"refn","yes; byte count","yes","A reference to a previously decoded block. Data section contains a uintn (block number)."
38,"string","yes; byte count","yes","decodes as a string"
39,"binary","yes; byte count","yes","decodes as binary data"
40,"true","no","no","decodes as true"
41,"false","no","no","decodes as false"
42,"date","no","yes","decodes as date. Data section is the unix epoch."
43,"date64","no","yes","decodes as 64-bit date. Data section is the 64-bit unix epoch."
44,"constructor","yes; reference to constructor name","yes; reference to arguments array","Provides support for custom types. The hint section contains a reference to a constructor name, the data section contains a reference to an array of arguments. Data section is the same size as the hint section."
45,"arrayStart","yes; array length","no","Indicates the start of an array"
46,"arrayEnd","no","no","Indicates the end of an array"
47,"objectStart","no","no","Indicates the start of an object"
48,"objectEnd","no","no","Indicates the end of an object"
49,"hintSize","no","yes","Sets the hint size. Data section is uint8."
50,"end","no","no","Indicates the end of the serialized data."
